"BehaviorSpace results (NetLogo 6.0.4)"
"ds_model_code-done.nlogo"
"mid-high-speed-density"
"08/15/2019 21:36:37:556 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","60","0","30"
"[run number]","sidewalk-width","pedestrian-flow","disabled-proportion","bus-stop-type","[step]","speed-reporter","count turtles / sidewalk-width / 30","mean-delay","mean-delay-dis","mean-delay-non","total-colli","mean-colli-dis","mean-colli-non"
"2","6","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"3","6","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"5","6","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"1","6","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"7","6","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"4","6","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"6","6","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"7","6","1500","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"4","6","1500","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"8","6","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"8","6","1500","0.05","bus flag","1","1.1208450902178773","0.005555555555555555","0","0","0","0","0","0"
"2","6","1500","0.05","bus flag","1","0.9938349632416866","0.005555555555555555","0","0","0","0","0","0"
"5","6","1500","0.05","bus flag","1","1.1769294164977924","0.01111111111111111","0","0","0","0","0","0"
"2","6","1500","0.05","bus flag","2","0.9938349632416866","0.005555555555555555","0","0","0","0","0","0"
"8","6","1500","0.05","bus flag","2","1.0798084996345332","0.01111111111111111","0","0","0","0","0","0"
"1","6","1500","0.05","bus flag","1","1.1286040804252249","0.01111111111111111","0","0","0","0","0","0"
"7","6","1500","0.05","bus flag","2","1.2142700196101008","0.016666666666666666","0","0","0","0","0","0"
"4","6","1500","0.05","bus flag","2","1.0783010908265203","0.01111111111111111","0","0","0","0","0","0"
"6","6","1500","0.05","bus flag","1","0.9830785338314384","0.005555555555555555","0","0","0","0","0","0"
"2","6","1500","0.05","bus flag","3","1.1045484939429355","0.01111111111111111","0","0","0","0","0","0"
"3","6","1500","0.05","bus flag","1","1.144176851140009","0.016666666666666666","0","0","0","0","0","0"
"1","6","1500","0.05","bus flag","2","1.1286040804252249","0.01111111111111111","0","0","0","0","0","0"
"5","6","1500","0.05","bus flag","2","1.168332143972393","0.01111111111111111","0","0","0","0","0","0"
"8","6","1500","0.05","bus flag","3","1.0619053919252144","0.02222222222222222","0","0","0","0","0","0"
"4","6","1500","0.05","bus flag","3","1.046961693350296","0.016666666666666666","0","0","0","0","0","0"
"6","6","1500","0.05","bus flag","2","0.9916245858616333","0.01111111111111111","0","0","0","0","0","0"
"7","6","1500","0.05","bus flag","3","1.1937945888571542","0.02222222222222222","0","0","0","0","0","0"
"5","6","1500","0.05","bus flag","3","1.1680671873831479","0.01111111111111111","0","0","0","0","0","0"
"1","6","1500","0.05","bus flag","3","1.1720914730892102","0.016666666666666666","0","0","0","0","0","0"
"6","6","1500","0.05","bus flag","3","0.9916245858616333","0.01111111111111111","0","0","0","0","0","0"
"2","6","1500","0.05","bus flag","4","1.1138911852884013","0.02222222222222222","0","0","0","0","0","0"
"4","6","1500","0.05","bus flag","4","1.046961693350296","0.016666666666666666","0","0","0","0","0","0"
"3","6","1500","0.05","bus flag","2","1.1347395950576018","0.02777777777777778","0","0","0","0","0","0"
"8","6","1500","0.05","bus flag","4","1.0953335025492263","0.02777777777777778","0","0","0","0","0","0"
"5","6","1500","0.05","bus flag","4","1.1839190237538542","0.016666666666666666","0","0","0","0","0","0"
"1","6","1500","0.05","bus flag","4","1.1720914730892102","0.016666666666666666","0","0","0","0","0","0"
"6","6","1500","0.05","bus flag","4","1.1069095612298816","0.02222222222222222","0","0","0","0","0","0"
"7","6","1500","0.05","bus flag","4","1.1918177815291449","0.02222222222222222","0","0","0","0","0","0"
"4","6","1500","0.05","bus flag","5","1.112607701397856","0.02777777777777778","0","0","0","0","0","0"
"2","6","1500","0.05","bus flag","5","1.1147309550942552","0.02777777777777778","0","0","0","0","0","0"
"5","6","1500","0.05","bus flag","5","1.1545437136432528","0.02222222222222222","0","0","0","0","0","0"
"8","6","1500","0.05","bus flag","5","1.0760232411996293","0.03333333333333333","0","0","0","0","0","0"
"1","6","1500","0.05","bus flag","5","1.1735232198512917","0.02222222222222222","0","0","0","0","0","0"
"3","6","1500","0.05","bus flag","3","1.0789163952229657","0.03333333333333333","0","0","0","0","0","0"
"7","6","1500","0.05","bus flag","5","1.19177768934562","0.02222222222222222","0","0","0","0","0","0"
"6","6","1500","0.05","bus flag","5","1.106910048931566","0.02222222222222222","0","0","0","0","0","0"
"4","6","1500","0.05","bus flag","6","1.1110298746203755","0.02777777777777778","0","0","0","0","0","0"
"5","6","1500","0.05","bus flag","6","1.1545437128768028","0.02222222222222222","0","0","0","0","0","0"
"1","6","1500","0.05","bus flag","6","1.1694707179379824","0.02777777777777778","0","0","0","0","0","0"
"6","6","1500","0.05","bus flag","6","1.106910272031319","0.02222222222222222","0","0","0","0","0","0"
"2","6","1500","0.05","bus flag","6","1.1131667147095539","0.03888888888888889","0","0","0","0","0","0"
"7","6","1500","0.05","bus flag","6","1.1880965346456778","0.02777777777777778","0","0","0","0","0","0"
"3","6","1500","0.05","bus flag","4","1.0931877131089187","0.03888888888888889","0","0","0","0","0","0"
"4","6","1500","0.05","bus flag","7","1.1109786549618552","0.02777777777777778","0","0","0","0","0","0"
"8","6","1500","0.05","bus flag","6","1.0698915725015177","0.03888888888888889","0","0","0","0","0","0"
"5","6","1500","0.05","bus flag","7","1.071928087815104","0.03333333333333333","0","0","0","0","0","0"
"6","6","1500","0.05","bus flag","7","1.1069103055952536","0.02222222222222222","0","0","0","0","0","0"
"1","6","1500","0.05","bus flag","7","1.1694707179379824","0.02777777777777778","0","0","0","0","0","0"
"7","6","1500","0.05","bus flag","7","1.1880965243100508","0.02777777777777778","0","0","0","0","0","0"
"4","6","1500","0.05","bus flag","8","1.1109777354365784","0.02777777777777778","0","0","0","0","0","0"
"2","6","1500","0.05","bus flag","7","1.1184738565587498","0.04444444444444444","0","0","0","0","0","0"
"3","6","1500","0.05","bus flag","5","1.0931877130913628","0.03888888888888889","0","0","0","0","0","0"
"6","6","1500","0.05","bus flag","8","1.1069103101810474","0.02222222222222222","0","0","0","0","0","0"
"5","6","1500","0.05","bus flag","8","1.0719280878149393","0.03333333333333333","0","0","0","0","0","0"
