"BehaviorSpace results (NetLogo 6.0.4)"
"ds_model_code-done.nlogo"
"mid-mid-speed-density"
"08/14/2019 11:56:22:883 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","60","0","30"
"[run number]","sidewalk-width","pedestrian-flow","disabled-proportion","bus-stop-type","[step]","speed-reporter","count turtles / sidewalk-width / 30","mean-delay","mean-delay-dis","mean-delay-non","total-colli","mean-colli-dis","mean-colli-non"
"7","6","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","2","0","0","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","2","0","0","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","3","0","0","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","3","0","0","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","4","0","0","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","2","1.1114259553559984","0.005555555555555555","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","1","1.1413981626097855","0.01111111111111111","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","2","1.2503868087461207","0.005555555555555555","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","1","1.0681175173322783","0.005555555555555555","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","3","1.251936926358381","0.005555555555555555","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","5","0.9977855287243367","0.01111111111111111","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","1","1.2235487360302253","0.005555555555555555","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","2","1.223514629137829","0.005555555555555555","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","3","1.1114259553559984","0.005555555555555555","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","4","1.0775015067242883","0.005555555555555555","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","4","1.1728460263659202","0.01111111111111111","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","2","1.2235487360302253","0.005555555555555555","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","3","1.22478742139289","0.01111111111111111","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","2","1.141945452617159","0.01111111111111111","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","3","1.2235487360302253","0.005555555555555555","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","4","1.081243935857381","0.01111111111111111","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","6","0.9962023565876391","0.016666666666666666","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","2","1.0608665186911685","0.01111111111111111","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","4","1.2235487360302253","0.005555555555555555","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","5","1.0335117918154506","0.016666666666666666","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","4","1.22478742139289","0.01111111111111111","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","5","1.1449151169079992","0.016666666666666666","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","5","1.1322887832379338","0.016666666666666666","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","5","1.081243935857381","0.01111111111111111","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","3","1.151821636783608","0.016666666666666666","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","7","0.9962023565876391","0.016666666666666666","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","3","1.1236105862327619","0.016666666666666666","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","6","1.1697985223941125","0.02222222222222222","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","5","1.2168380296138046","0.016666666666666666","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","6","1.0335117918154506","0.016666666666666666","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","6","1.081243935857381","0.01111111111111111","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","6","1.1322887832379338","0.016666666666666666","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","8","0.9962023565876391","0.016666666666666666","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","4","1.1518147513300654","0.016666666666666666","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","6","1.216838198287693","0.016666666666666666","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","7","1.0996348739801194","0.02222222222222222","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","7","1.161314917264919","0.02777777777777778","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","4","1.0916299789662636","0.02222222222222222","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","7","1.0335117918154506","0.016666666666666666","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","9","0.9962023565876391","0.016666666666666666","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","7","1.0810705941583436","0.016666666666666666","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","5","1.1549856657170343","0.02777777777777778","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","10","0.9962023565876391","0.016666666666666666","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","8","1.0996348739801192","0.02222222222222222","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","7","1.195242984495888","0.02222222222222222","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","8","1.0810705941583436","0.016666666666666666","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","8","1.1613149368057498","0.02777777777777778","0","0","0","0","0","0"
