"BehaviorSpace results (NetLogo 6.0.4)"
"ds_model_code-done.nlogo"
"narrow-mid-speed-density"
"08/13/2019 21:54:54:222 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","60","0","30"
"[run number]","sidewalk-width","pedestrian-flow","disabled-proportion","bus-stop-type","[step]","speed-reporter","count turtles / sidewalk-width / 30","mean-delay","mean-delay-dis","mean-delay-non","total-colli","mean-colli-dis","mean-colli-non"
"8","4","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"4","4","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"3","4","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"7","4","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"5","4","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"1","4","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"6","4","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"2","4","1000","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"8","4","1000","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"4","4","1000","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"7","4","1000","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"6","4","1000","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"8","4","1000","0.05","bus flag","2","0","0","0","0","0","0","0","0"
"1","4","1000","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"6","4","1000","0.05","bus flag","2","0","0","0","0","0","0","0","0"
"7","4","1000","0.05","bus flag","2","0","0","0","0","0","0","0","0"
"1","4","1000","0.05","bus flag","2","0","0","0","0","0","0","0","0"
"7","4","1000","0.05","bus flag","3","0","0","0","0","0","0","0","0"
"8","4","1000","0.05","bus flag","3","1.0815683308145212","0.008333333333333333","0","0","0","0","0","0"
"3","4","1000","0.05","bus flag","1","1.2308177367721995","0.008333333333333333","0","0","0","0","0","0"
"5","4","1000","0.05","bus flag","1","1.185734072936244","0.008333333333333333","0","0","0","0","0","0"
"2","4","1000","0.05","bus flag","1","0.9977767188248903","0.008333333333333333","0","0","0","0","0","0"
"7","4","1000","0.05","bus flag","4","1.1624715506717735","0.016666666666666666","0","0","0","0","0","0"
"4","4","1000","0.05","bus flag","2","1.1657453714770531","0.016666666666666666","0","0","0","0","0","0"
"6","4","1000","0.05","bus flag","3","1.2789986889749203","0.008333333333333333","0","0","0","0","0","0"
"3","4","1000","0.05","bus flag","2","1.2308177367721995","0.008333333333333333","0","0","0","0","0","0"
"2","4","1000","0.05","bus flag","2","1.1386372610772453","0.016666666666666666","0","0","0","0","0","0"
"5","4","1000","0.05","bus flag","2","1.185734072936244","0.008333333333333333","0","0","0","0","0","0"
"8","4","1000","0.05","bus flag","4","1.0815683308145212","0.008333333333333333","0","0","0","0","0","0"
"3","4","1000","0.05","bus flag","3","1.2308177367721995","0.008333333333333333","0","0","0","0","0","0"
"1","4","1000","0.05","bus flag","3","0.8754145835367942","0.016666666666666666","0","0","0","0","0","0"
"2","4","1000","0.05","bus flag","3","1.1386372610772453","0.016666666666666666","0","0","0","0","0","0"
"7","4","1000","0.05","bus flag","5","1.1624715506717735","0.016666666666666666","0","0","0","0","0","0"
"6","4","1000","0.05","bus flag","4","1.1567367257161343","0.016666666666666666","0","0","0","0","0","0"
"4","4","1000","0.05","bus flag","3","1.0562536401022407","0.025","0","0","0","0","0","0"
"5","4","1000","0.05","bus flag","3","1.096558757244438","0.016666666666666666","0","0","0","0","0","0"
"3","4","1000","0.05","bus flag","4","1.185083413681236","0.016666666666666666","0","0","0","0","0","0"
"8","4","1000","0.05","bus flag","5","1.0427706298232122","0.025","0","0","0","0","0","0"
