"BehaviorSpace results (NetLogo 6.0.4)"
"ds_model_code-done.nlogo"
"wide-high-speed-density"
"08/15/2019 22:57:14:026 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","60","0","30"
"[run number]","sidewalk-width","pedestrian-flow","disabled-proportion","bus-stop-type","[step]","speed-reporter","count turtles / sidewalk-width / 30","mean-delay","mean-delay-dis","mean-delay-non","total-colli","mean-colli-dis","mean-colli-non"
"5","8","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"1","8","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"6","8","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"8","8","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"3","8","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"7","8","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"2","8","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"4","8","1500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"5","8","1500","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"3","8","1500","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"7","8","1500","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"2","8","1500","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"3","8","1500","0.05","bus flag","2","0","0","0","0","0","0","0","0"
"4","8","1500","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"2","8","1500","0.05","bus flag","2","0","0","0","0","0","0","0","0"
"4","8","1500","0.05","bus flag","2","0","0","0","0","0","0","0","0"
"2","8","1500","0.05","bus flag","3","0","0","0","0","0","0","0","0"
"4","8","1500","0.05","bus flag","3","0","0","0","0","0","0","0","0"
"8","8","1500","0.05","bus flag","1","0.9739998402879209","0.004166666666666667","0","0","0","0","0","0"
"3","8","1500","0.05","bus flag","3","1.1780764876069583","0.004166666666666667","0","0","0","0","0","0"
"2","8","1500","0.05","bus flag","4","1.1548727005928527","0.004166666666666667","0","0","0","0","0","0"
"5","8","1500","0.05","bus flag","2","1.0410089449787392","0.004166666666666667","0","0","0","0","0","0"
"1","8","1500","0.05","bus flag","1","0.9654285702321274","0.004166666666666667","0","0","0","0","0","0"
"4","8","1500","0.05","bus flag","4","1.2166493743462243","0.004166666666666667","0","0","0","0","0","0"
"7","8","1500","0.05","bus flag","2","0.8483206608361048","0.004166666666666667","0","0","0","0","0","0"
"8","8","1500","0.05","bus flag","2","0.9739998402879209","0.004166666666666667","0","0","0","0","0","0"
"3","8","1500","0.05","bus flag","4","1.1780764876069583","0.004166666666666667","0","0","0","0","0","0"
"1","8","1500","0.05","bus flag","2","1.026081394196561","0.008333333333333333","0","0","0","0","0","0"
"6","8","1500","0.05","bus flag","1","1.1718397068262179","0.008333333333333333","0","0","0","0","0","0"
"5","8","1500","0.05","bus flag","3","1.0410089449787392","0.004166666666666667","0","0","0","0","0","0"
"8","8","1500","0.05","bus flag","3","0.9739998402879209","0.004166666666666667","0","0","0","0","0","0"
"2","8","1500","0.05","bus flag","5","1.0729982835578946","0.008333333333333333","0","0","0","0","0","0"
"4","8","1500","0.05","bus flag","5","1.1825513884808359","0.008333333333333333","0","0","0","0","0","0"
"7","8","1500","0.05","bus flag","3","1.0594713605124397","0.0125","0","0","0","0","0","0"
"3","8","1500","0.05","bus flag","5","1.2104218343944195","0.008333333333333333","0","0","0","0","0","0"
"8","8","1500","0.05","bus flag","4","0.9739998402879209","0.004166666666666667","0","0","0","0","0","0"
"5","8","1500","0.05","bus flag","4","1.1368761415901552","0.008333333333333333","0","0","0","0","0","0"
"6","8","1500","0.05","bus flag","2","1.1718397068262179","0.008333333333333333","0","0","0","0","0","0"
"5","8","1500","0.05","bus flag","5","1.0911430182028152","0.0125","0","0","0","0","0","0"
"4","8","1500","0.05","bus flag","6","1.1825513884808359","0.008333333333333333","0","0","0","0","0","0"
"2","8","1500","0.05","bus flag","6","1.0561164136801358","0.0125","0","0","0","0","0","0"
"3","8","1500","0.05","bus flag","6","1.1151964932798561","0.0125","0","0","0","0","0","0"
"1","8","1500","0.05","bus flag","3","1.1128224785613219","0.016666666666666666","0","0","0","0","0","0"
"8","8","1500","0.05","bus flag","5","0.925609979556641","0.016666666666666666","0","0","0","0","0","0"
"7","8","1500","0.05","bus flag","4","0.9909180017848896","0.020833333333333332","0","0","0","0","0","0"
"4","8","1500","0.05","bus flag","7","1.1825513884808359","0.008333333333333333","0","0","0","0","0","0"
"6","8","1500","0.05","bus flag","3","1.1766355894304492","0.0125","0","0","0","0","0","0"
"3","8","1500","0.05","bus flag","7","1.0559640435441215","0.016666666666666666","0","0","0","0","0","0"
"5","8","1500","0.05","bus flag","6","1.0418332884162869","0.016666666666666666","0","0","0","0","0","0"
"2","8","1500","0.05","bus flag","7","1.0387936045198751","0.016666666666666666","0","0","0","0","0","0"
"1","8","1500","0.05","bus flag","4","1.1003382781646627","0.020833333333333332","0","0","0","0","0","0"
