"BehaviorSpace results (NetLogo 6.0.4)"
"ds_model_fixingbug.nlogo"
"narrow-low-speed-density"
"08/13/2019 00:45:33:681 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","60","0","30"
"[run number]","sidewalk-width","pedestrian-flow","disabled-proportion","bus-stop-type","[step]","speed-reporter","count turtles / sidewalk-width / 30","mean-delay","mean-delay-dis","mean-delay-non","total-colli","mean-colli-dis","mean-colli-non"
"2","4","500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"1","4","500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"5","4","500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"3","4","500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"4","4","500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"2","4","500","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"7","4","500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"6","4","500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"1","4","500","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"8","4","500","0.05","bus flag","0","0","0","0","0","0","0","0","0"
"3","4","500","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"4","4","500","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"3","4","500","0.05","bus flag","2","0","0","0","0","0","0","0","0"
"4","4","500","0.05","bus flag","2","0","0","0","0","0","0","0","0"
"7","4","500","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"6","4","500","0.05","bus flag","1","0","0","0","0","0","0","0","0"
"3","4","500","0.05","bus flag","3","0","0","0","0","0","0","0","0"
"4","4","500","0.05","bus flag","3","0","0","0","0","0","0","0","0"
"7","4","500","0.05","bus flag","2","0","0","0","0","0","0","0","0"
"6","4","500","0.05","bus flag","2","0","0","0","0","0","0","0","0"
"3","4","500","0.05","bus flag","4","0","0","0","0","0","0","0","0"
"7","4","500","0.05","bus flag","3","0","0","0","0","0","0","0","0"
"4","4","500","0.05","bus flag","4","0","0","0","0","0","0","0","0"
"3","4","500","0.05","bus flag","5","0","0","0","0","0","0","0","0"
"6","4","500","0.05","bus flag","3","0","0","0","0","0","0","0","0"
"4","4","500","0.05","bus flag","5","0","0","0","0","0","0","0","0"
"7","4","500","0.05","bus flag","4","0","0","0","0","0","0","0","0"
