,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,100,1.493452381,0.7825934593849777,1.2844047619,0.5499743602305901,0.9613419913,0.9054825903136435,1.615,0.894227202835079
1,200,2.4598276724,1.04619298502308,2.6964703352,0.9718107084813333,1.9857095681,1.0907942892163116,3.0698303889,1.3731658432081841
2,300,3.8980256457,1.2622455787114786,4.0911925575,1.5879870317113984,3.673860854,0.8934342005532767,4.135604711,1.5187173882536988
3,400,4.9677424763,1.4569372912311955,6.6357359316,3.3590499794397335,4.5540123097,1.1795136833145685,5.9493302982000005,1.6204032959011947
4,500,6.0128931542,1.013623414467254,6.6855132317,1.55436685415069,5.9152760992,2.5934558629838165,6.9448739933,1.9920646164315388
5,600,7.4928101512,1.5225413371191463,8.5242119322,1.079056335879187,5.6457981192,1.2777933872846423,8.6620150032,1.4653649438913108
6,700,9.0487486874,1.788213261144014,9.192556595,2.5102381521924557,7.254717034,1.035738643489117,10.442832491899999,1.9514684679969136
7,800,10.0118282451,1.9849557154487607,9.5799704116,2.1033392653177785,8.7897722377,1.6238919318214866,11.0637756197,2.0375204648658096
8,900,10.2114624158,1.965488588358246,9.8125487779,2.1972076702983867,9.1366019001,2.6162965683154895,12.2474423234,1.4525916463979214
9,1000,10.669758783599999,2.933058259570745,9.9695238589,2.8316849729689118,9.8414851518,2.927221366250805,11.6701449394,2.258624820803604
10,1100,11.8864625829,1.576902213733514,11.852426060800001,3.197909445421993,11.1374125061,2.8151024268603453,12.2723236497,2.2404181771219904
11,1200,13.018719428499999,1.7263097570850152,11.7999454997,2.3247157068750144,10.370476871,3.048894657899336,12.3364045632,1.8133065229736594
12,1300,14.665712172,2.0164459395814243,14.131189535299999,3.3496155428853305,12.4107175349,2.350400279244399,12.5583584286,2.7554088993239274
13,1400,13.6723986166,2.3011625961225852,14.056929813,2.8346734830200164,10.0899038455,3.7457246689092707,14.409528134,1.8867245102602517
14,1500,14.327171392,2.2346300870126266,13.8629867719,3.2193614261707233,11.534435484700001,4.234494897760441,15.367525046,2.7952854084379126
15,1600,16.000163829,2.2538680583263595,13.389573663,1.629413820228779,10.715142083,2.9051030242535725,15.590572454,3.42348041200458
16,1700,17.302351419,3.0743126268067686,13.4681808721,3.5382892076980177,9.545629085,2.8497691929947266,16.224415517,1.6068539147309289
17,1800,15.218841858000001,2.210300548743146,15.365517124,3.33835819764533,10.650568918,5.383151047266073,15.9416048,2.589679754695542
