,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,100,0.6413950655999999,0.6408189713329469,0.8770192633,0.476017213704423,1.8482010795,2.087838632037461,0.8673225528,0.382028528465602
1,200,0.8549903697,0.35850880309899186,2.5217039705,2.2738201641859015,1.8466983505,0.8081671841307869,2.2849679582,1.9284363640841695
2,300,1.9505193969,1.0483330655482541,3.2545795662,2.0007193654672477,3.6500292119,2.395061065765074,2.0445611704,0.9412149930354069
3,400,3.1501667736999996,2.4546710030642314,6.581469467600001,7.082203488798294,3.5489417939,1.0281746908006981,3.9475063595,2.9034114602498162
4,500,2.5342366312999998,1.100996439797069,4.6327627571,2.545189011146863,6.1609903774,8.478329781790459,4.1055028022,2.3090187584048674
5,600,4.7238706604,2.543104681954938,7.4906100407,4.212428130299996,3.4583768948999998,0.680299261358804,5.7270881302,3.581581074035309
6,700,5.1455129222,2.3331638364072216,7.6477138448,4.865835222328573,4.7415518208,1.7132286463478397,6.7605462289,3.6251658117874324
7,800,4.5464507377,2.126145501921483,7.4644068119,4.075832545128368,6.0880188158,2.272187634705492,5.8343868241,2.199441752828865
8,900,6.2461307218,4.013158263849133,6.2517543411,2.2618888260230436,6.3909097732,1.6577901584219255,8.4579992311,4.313873641933161
9,1000,5.1006102608,2.4720500981755227,6.4648224672,3.489232478893873,12.2807788153,8.31655872466736,5.8894975816,3.021908162547555
10,1100,5.0190672086,1.233978856125764,8.5351586054,3.6626311339708026,12.0135546605,8.650191248899894,7.3045341484,4.117918198828441
11,1200,6.7107784194,2.1362933185422657,7.4731878091,2.722616398246574,8.5246077276,3.2838200053697006,6.2676129325,2.77620016767847
12,1300,9.1670157447,2.795890611874366,9.2895483365,5.5951266042376835,10.0973416977,2.85458416074244,6.8995577504,2.126649458807752
13,1400,6.727308508799999,2.5494035023705357,9.5792338576,6.616178868203276,9.3160322082,6.885095925137788,8.3687325438,2.7138194437548613
14,1500,5.9956937201,1.7634788373458001,9.1472080629,3.0298551515504766,13.407992717,11.768919894205885,8.4888111084,2.2716526353291093
15,1600,8.6763350028,3.74097943629002,8.7429541014,3.3188869908265057,11.3622163556,4.3683925214452275,8.2350001306,3.9331156142675603
16,1700,9.1869588452,3.3041756014540042,8.4841341735,3.0695455705891788,10.7270206383,4.300182924321419,7.9483402221,3.800999796958096
17,1800,6.8058731448,2.65423490252782,10.0547884065,3.0269423777817965,12.8771904848,3.1312190724175832,8.5534663169,2.7926736660212392
