,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,100,11.6,9.453982112198954,8.1,4.408325456829762,7.5,5.9113826169894,12.8,7.64198926981712
1,200,36.3,19.25299399516288,35.3,8.957306142659931,29.2,19.98221431395652,36.6,20.28244999446018
2,300,84.0,34.1922668320062,69.9,28.815312287431873,87.2,30.433169039352077,92.0,52.19621101616902
3,400,118.0,41.52643067305983,138.8,61.01693753923304,116.2,51.622131343489144,160.4,56.942856346418814
4,500,200.1,50.70711105073046,174.1,83.66394417881311,155.7,90.92371650027412,195.1,66.89369676334734
5,600,275.5,103.1086266463136,238.3,66.53996292955586,162.8,57.78465771004157,301.2,53.78516937264811
6,700,331.6,72.47558976035387,282.1,130.19340314402348,225.9,89.15460977674931,417.7,139.8396303707294
7,800,414.7,94.1075625724805,326.9,144.72767530780007,384.6,122.8551088794348,453.2,96.48350463507566
8,900,422.4,99.84120725765823,294.2,153.94501182781684,353.5,185.13253510810992,485.7,117.44412383011004
9,1000,506.4,128.58391121062627,377.4,226.23154313912795,290.0,76.14168080332583,513.2,161.08024225349442
10,1100,596.0,134.04891312916754,360.1,158.5380781459843,371.5,93.01762079185737,514.1,81.07671264508282
11,1200,687.4,168.39517016035032,350.2,196.63886809185118,302.6,217.30633779170924,509.7,284.73420354194656
12,1300,735.2,126.8899785903783,461.8,280.1129930740252,403.2,189.06130692920163,474.5,235.59676002299636
13,1400,757.5,118.79697901134617,424.4,182.9579186589091,255.6,199.9150930881519,603.2,184.14535321617842
14,1500,795.9,315.15867255858416,340.1,154.83141369459452,276.4,166.05032704307183,705.0,320.0107637078617
15,1600,890.3,304.22909861557366,381.2,128.9140971517252,286.2,120.37330822625643,598.3,263.2844047371165
16,1700,1028.5,367.15278381985155,389.6,244.00054644747556,274.9,115.17662764448157,769.7,210.50893356603922
17,1800,779.0,343.3171517222329,446.8,161.48808005546414,326.3,173.45832032188278,590.4,324.5917778105635
