,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,100,0.7666666666999999,0.7864594830702413,0.4,0.7378647873726218,1.1,1.449137674618944,1.6333333333,1.8287822299187695
1,200,1.6483333334,1.300627816171962,3.3333333334,1.173919256083002,2.6166666667,2.166025546137954,2.6880952381,2.043013461998243
2,300,2.66,0.9252026804976302,3.1166666667,1.9019970012156522,3.85,1.531963961854114,3.76,1.8712773743430966
3,400,5.0825396825,2.74603671594718,4.2833333334,1.8782708097438459,4.7023809524,1.3845055547118497,4.4366666667,0.9130332029267428
4,500,6.095,2.132350033804644,5.7549999999,2.0607149963645752,5.7135714286,1.5467063038692475,5.0191666666,1.6485031089671758
5,600,6.9359523809,1.686432472672552,8.201825397,2.330264453710133,5.8638888888,1.3892869798563412,7.1665476189,2.0729104692905436
6,700,7.0027777776999995,1.5863729756647855,8.520714286,3.1075923678886666,7.3049023199,1.576013280726751,7.4577380953,1.6829220748798603
7,800,8.7035714286,1.5627814435621517,11.0108730149,2.9182162382442125,8.9860714279,3.0656819438358287,8.7099999997,2.2364813351939388
8,900,9.9395165934,2.652611424410126,11.418333333,2.951066453404369,9.9518073591,1.900013131854294,10.868181818,3.212881873840895
9,1000,9.5785714291,2.7556328171572733,11.5390476203,2.855591114200226,9.7741414138,2.117158929611139,10.6414835167,2.3366574613379543
10,1100,10.6390079366,2.033210021960119,12.7301587297,2.2482041204859753,11.5609865139,2.9833593056957586,12.2358080809,3.751573462397861
11,1200,11.1160714293,1.4442625099209445,13.371587301,3.2361188480913134,11.0824062052,1.6939969703189452,12.7723953819,2.384263100986116
12,1300,12.646464647,2.2676590784798245,15.601915584,3.5149123332350425,14.168041127,2.293239949939041,13.098663836,2.2810122258891035
13,1400,14.2267704514,2.7758341541544045,15.185833333,3.4959148335375008,14.32073784,1.998292629875441,15.60729687,2.7511064876830646
14,1500,15.849188589,2.531874109874464,19.031388889,2.936156531006797,15.440957654,2.441451129303187,16.421006493,2.511176066092063
15,1600,15.293675213,2.4147860453418093,19.35040293,2.6375162399476375,13.775425686,1.8247444059044824,17.843687424,3.2437816105278876
16,1700,13.459423077,2.1977398197667157,19.214174093,3.8408381167004797,15.457828283,2.7845047468706547,18.721613559,3.074890079600873
17,1800,16.783248491,2.79797020419183,18.617023808,2.9697993130864395,16.2618272,2.093724239524918,16.787844753999998,4.3989571816295525
