,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,100,0.1712971919,0.27743536201802593,0.3559584178,0.5151001556297854,0.7307372497,1.1875474909923145,0.5192143973,0.46288130866458216
1,200,0.5290902062,0.7683711461099377,1.3455913464,1.1346364756994882,1.1493544472000001,1.4516205897950842,0.9987623875,1.0091990721625317
2,300,1.0683136592,1.2664902176077668,1.4851606433,1.1820774372317584,1.0704667962,0.9345184514538372,1.7457596331,1.9806977797465495
3,400,1.5454221286999998,1.4176462886019983,2.1316473691,1.9186317564328532,1.8944051884,1.2649894887945805,1.2718441237,0.6033698446632783
4,500,4.7456249538,8.98821680559393,1.6543955735,0.993634298852591,1.8746916679999999,0.5670738217477824,1.9461200224,1.3189810849453123
5,600,2.237893858,1.6295674062670413,2.9701255848,1.8954272184089078,1.6457986049,1.0119687157914277,2.3192637035,2.01611477039748
6,700,1.8203309069,0.9616485141811815,3.9722421382,3.0121335241774463,2.4240243941,0.5360690735956957,2.2317249029,0.9202514947713584
7,800,3.2157998268,1.0825687719652433,4.6122193512,3.0870524734650107,3.77813346,3.1235432472243487,3.5838466135,2.5137419462510557
8,900,3.4625374771999997,2.8918837383812344,4.9465979965,2.7940839061319194,2.9947756439,1.389658892494869,3.1330931425,2.59938848812038
9,1000,3.1412750509,2.2502011254801517,3.3722583025,1.5870757354495477,2.9516754847,0.8429154253232555,3.8152878921999998,2.5130223608639324
10,1100,3.3413034909,1.1333338696610677,5.3709663026,3.056306390410955,3.0515959144,1.4052931356001028,4.295180822,2.6115736265663596
11,1200,3.3768579665,2.477158714782528,5.567392623,3.0954861844195323,3.0434071499,1.020567806632584,3.5729793268,1.1167898617189347
12,1300,3.8040946251,2.4082907171709227,4.8588800597,2.0949475828609576,4.4751413409,1.6794174511209978,5.0838035068,3.9132559908330475
13,1400,4.3949479122,1.7466384078280692,6.8749808752,4.539178781582764,3.9861070791,1.246152956695025,7.0423240679,4.3285408703452735
14,1500,4.7651841887,2.3058869799033896,8.9862846259,6.358133152720947,5.3304217543000005,1.637633039901988,6.2391587831,2.8750349360768617
15,1600,6.126030909,4.680280167588445,5.8977268898,1.9913716725413475,4.2589240056,1.3183760094865358,6.4165664474,3.084164925051365
16,1700,3.4153207131,1.5910554121993936,6.5457851192,2.257895232846865,4.6920208233,2.309403152756104,7.6765357074,3.3096293229638443
17,1800,3.6475793156000003,1.252953282559009,6.952178608,2.7910792767484986,4.2961721215,1.779248873112203,5.7102160955,3.143586168539554
