,[run number],sidewalk_width,pedestrian_flow,disabled-proportion,bus_stop_type,second,average_speed,density,mean_delay,mean_delay_disabled,mean_delay_non_disabled,total_conflict_incidents,mean_conflict_disabled,mean_conflict_non_disabled
0,3,4,500,0.05,bus flag,180,0.9301485620000001,0.05,1.7601106030000002,2.2282192309999997,1.72543589,166,9.5,5.444444444
1,4,4,500,0.05,bus flag,180,0.6749540559999999,0.083333333,1.4284889330000001,0.398548051,1.593279475,150,4.25,5.32
2,5,4,500,0.05,bus flag,180,0.667111301,0.075,1.901051016,1.2908783640000001,2.084102812,135,4.166666667,5.5
3,7,4,500,0.05,bus flag,180,0.661274861,0.075,3.854095454,0.0,3.854095454,166,0.0,5.928571429
4,8,4,500,0.05,bus flag,180,0.435659746,0.091666667,2.7513594789999996,0.0,2.7513594789999996,138,0.0,5.1111111110000005
5,2,4,500,0.05,bus flag,180,0.47323266,0.1,2.093921655,0.6340658920000001,2.499437145,123,5.2,5.3888888889999995
6,6,4,500,0.05,bus flag,180,0.519218625,0.141666667,2.750394932,1.7151885130000002,2.793528532,176,4.0,7.166666667
7,10,4,500,0.05,bus flag,180,0.537317129,0.033333333,2.234763562,2.0825586680000003,2.278250674,199,6.625,5.214285714
8,9,4,500,0.05,bus flag,180,0.42319009,0.125,2.496534701,2.821374801,2.434660396,145,9.25,5.1428571430000005
9,12,4,500,0.05,backing road,180,0.582353484,0.11666666699999999,2.9693635119999997,3.128126038,2.934082951,114,3.75,5.5
10,13,4,500,0.05,backing road,180,0.487360926,0.1,2.463815945,2.895373572,2.391889673,148,6.0,5.166666667
11,15,4,500,0.05,backing road,180,0.649567661,0.083333333,2.201967825,2.220107391,2.200624153,180,9.0,6.0
12,18,4,500,0.05,backing road,180,0.7355333940000001,0.1,3.6431052010000005,2.429221745,3.7731641430000002,219,7.333333333,7.035714286
13,20,4,500,0.05,backing road,180,0.334177908,0.11666666699999999,3.0748276569999997,1.567892314,3.4515614930000003,120,5.25,6.1875
14,19,4,500,0.05,backing road,180,0.589680781,0.091666667,4.951773993,3.4237981339999997,5.347915883,294,10.57142857,8.148148147999999
15,17,4,500,0.05,backing road,180,0.309094188,0.2,4.082618806,1.48383586,4.2354883910000005,103,6.0,5.705882353
16,16,4,500,0.05,backing road,180,0.327825822,0.166666667,14.68244248,12.30179114,14.852489000000002,324,12.5,10.67857143
