,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0066666669,0.005105203238827955,0.0038888891,0.005270462919205114,0.0038888891999999996,0.0026835885010184405,0.002777778,0.0029280351047690665
2,2,0.0122222223,0.006307180131178522,0.007777778,0.007943559460334069,0.007777778,0.004684855719641179,0.006111111200000001,0.004864416797715126
3,3,0.0172222222,0.007148244013941696,0.0127777779,0.009091064861472542,0.0105555558,0.004864416797715125,0.0094444446,0.005270462743523027
4,4,0.0222222223,0.006928995091402536,0.0166666668,0.00740740741666667,0.013888889000000001,0.006000685694700602,0.011666666800000001,0.006651216621900117
5,5,0.0261111111,0.006441676722610993,0.0194444446,0.008384615729583838,0.017222222300000003,0.0076128904858843655,0.013888889000000001,0.007051641540981552
6,6,0.0305555556,0.009166199075242064,0.0250000001,0.009166199041570313,0.02,0.007943559460334069,0.016666666700000003,0.007856741856049025
7,7,0.033888888900000004,0.010621948404833837,0.0277777778,0.00979907883187807,0.0216666667,0.00761289064805245,0.0188888889,0.007499428360474024
8,8,0.034444444500000004,0.01135534053697037,0.0305555556,0.008384615729583838,0.026111111000000003,0.010159901203034331,0.023888888900000002,0.007430519404088825
9,9,0.0394444444,0.010940041085730714,0.0344444442,0.008606629557828028,0.0316666666,0.009091064759622436,0.0277777777,0.007856741856049024
10,10,0.0455555554,0.013042086594693515,0.0383333332,0.009240722042584816,0.0349999998,0.007878536072438765,0.0316666666,0.008302411628420787
11,11,0.0494444443,0.01094004112522771,0.0427777778,0.012015650697050306,0.0383333333,0.006113916277612668,0.0338888888,0.0076128905264263875
12,12,0.0533333334,0.010540925627591714,0.0477777778,0.011475506257604186,0.0427777776,0.00743051944562589,0.0405555555,0.01081392685027888
13,13,0.0594444445,0.010159901172655887,0.0500000001,0.011415581589119003,0.0466666665,0.007499428492171301,0.045,0.012682143430932468
14,14,0.0616666667,0.012129276114158583,0.0555555555,0.014103283519651207,0.05,0.008281733539859887,0.0477777777,0.01486103904078521
15,15,0.0650000002,0.012015650450458331,0.0583333334,0.015548940326192322,0.053333333499999996,0.007943559615751538,0.0516666667,0.015281986015710203
16,16,0.0661111113,0.010940041012379147,0.0611111112,0.015930232049197822,0.0566666668,0.008606629686927473,0.055000000199999996,0.014451565147980945
17,17,0.0683333334,0.011126532355125616,0.0649999998,0.019253916536713864,0.0627777778,0.0138703579162284,0.0611111112,0.0154937042393432
