,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2649110640673518
29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2649110640673518
30,30,0.4,1.2649110640673518,0.0,0.0,0.2,0.6324555320336759,0.4,1.2649110640673518
31,31,0.4,1.2649110640673518,0.5,1.5811388300841898,0.35,1.1067971810589328,0.4,1.2649110640673518
32,32,0.4,1.2649110640673518,0.5,1.5811388300841898,1.05,2.3623199519869353,0.4,1.2649110640673518
33,33,0.4,1.2649110640673518,0.5,1.5811388300841898,1.05,2.3623199519869353,0.4,1.2649110640673518
34,34,0.4,1.2649110640673518,0.5,1.5811388300841898,1.05,2.3623199519869353,0.4,1.2649110640673518
35,35,0.4,1.2649110640673518,0.5,1.5811388300841898,1.05,2.3623199519869353,0.4,1.2649110640673518
36,36,0.45,1.4230249470757708,0.5,1.5811388300841898,1.95,3.403021533219494,0.4,1.2649110640673518
37,37,0.45,1.4230249470757708,0.5,1.5811388300841898,1.95,3.403021533219494,0.4,1.2649110640673518
38,38,1.45,3.3203915431767985,0.5,1.5811388300841898,2.45,3.4516501689610566,1.1,2.4244128727957577
39,39,1.45,3.3203915431767985,0.5,1.5811388300841898,2.45,3.4516501689610566,1.1,2.4244128727957577
40,40,1.45,3.3203915431767985,0.5,1.5811388300841898,2.45,3.4516501689610566,1.1,2.4244128727957577
41,41,1.65,3.283375634245274,0.5,1.5811388300841898,2.45,3.4516501689610566,1.7,2.8303906287138374
42,42,1.65,3.283375634245274,1.1,2.330951164939612,2.45,3.4516501689610566,1.7,2.8303906287138374
43,43,1.45,2.7330284382794927,1.1,2.330951164939612,2.45,3.4516501689610566,1.7,2.8303906287138374
44,44,1.45,2.7330284382794927,2.75,4.917372830643977,2.45,3.4516501689610566,1.7,2.8303906287138374
45,45,2.55,4.003123780249619,4.05,5.756397407329614,2.45,3.4516501689610566,1.7,2.8303906287138374
46,46,3.65,4.678853135830047,4.05,5.756397407329614,3.85,4.749561383257756,1.7,2.8303906287138374
47,47,3.9833333333,4.54636607018421,3.9,5.4812812776251905,6.85,4.666964276224488,1.7,2.8303906287138374
48,48,3.9833333333,4.54636607018421,5.6,6.649143637425132,6.85,4.666964276224488,1.7,2.8303906287138374
49,49,4.166666666599999,4.60608829509888,5.6,6.649143637425132,6.85,4.666964276224488,3.55,5.283359621385704
50,50,4.166666666599999,4.60608829509888,5.6166666667000005,6.657424148762209,7.2,5.197221479897803,4.7166666667,5.619657957180312
51,51,5.2666666666,4.809455706961515,5.608333333,6.599435300997772,7.85,5.260175324496745,4.7166666667,5.619657957180312
52,52,5.2666666666,4.809455706961515,5.608333333,6.599435300997772,9.35,4.899262983120805,4.7166666667,5.619657957180312
53,53,5.416666666599999,5.026626633076901,5.608333333,6.599435300997772,9.0,4.564354645876384,5.3666666667000005,5.896640600415347
54,54,5.416666666599999,5.026626633076901,6.908333333,6.39666796917218,9.0,4.564354645876384,5.3666666667000005,5.896640600415347
55,55,6.0666666666,4.955480816557475,6.908333333,6.39666796917218,9.0,4.564354645876384,5.3666666667000005,5.896640600415347
56,56,6.0666666666,4.955480816557475,6.908333333,6.39666796917218,9.0,4.564354645876384,5.2333333337,5.717203840861197
57,57,6.0666666666,4.955480816557475,6.908333333,6.39666796917218,9.0,4.564354645876384,5.2333333337,5.717203840861197
58,58,7.166666666599999,4.671954675914833,6.908333333,6.39666796917218,9.2,4.510481620009602,5.3166666667,5.807854409319598
59,59,9.1666666666,5.096597751662074,6.908333333,6.39666796917218,9.2,4.510481620009602,5.3166666667,5.807854409319598
60,60,9.4083333333,5.003771725564738,6.908333333,6.39666796917218,9.2,4.510481620009602,5.3166666667,5.807854409319598
61,61,9.4083333333,5.003771725564738,6.908333333,6.39666796917218,9.2,4.510481620009602,10.0166666667,6.6659490354493895
62,62,9.4083333333,5.003771725564738,8.613333333,6.508023537784383,9.025,4.372340461481826,9.7166666667,6.634203367474399
63,63,9.4083333333,5.003771725564738,8.613333333,6.508023537784383,9.025,4.372340461481826,9.7166666667,6.634203367474399
64,64,9.4083333333,5.003771725564738,10.08,5.914184664739678,9.025,4.372340461481826,10.1166666667,6.902339020260353
65,65,9.0083333333,4.459773910568038,10.08,5.914184664739678,9.025,4.372340461481826,9.9833333337,6.787993212675026
66,66,9.0083333333,4.459773910568038,10.08,5.914184664739678,8.8583333337,4.4503519767463615,10.0833333337,6.811958439477348
67,67,9.0083333333,4.459773910568038,10.08,5.914184664739678,8.9583333337,4.4650995731708205,10.0833333337,6.811958439477348
68,68,9.0083333333,4.459773910568038,10.08,5.914184664739678,11.0583333337,4.715035380679935,10.0833333337,6.811958439477348
69,69,9.3583333333,4.659062919433094,10.08,5.914184664739678,11.0583333337,4.715035380679935,10.0833333337,6.811958439477348
70,70,9.6583333333,4.868399298712369,10.088333333,5.91985594786919,11.1583333337,4.747717125128808,10.516666666999999,6.903412110598142
71,71,9.6583333333,4.868399298712369,10.093333333,5.9233123865545965,10.8083333337,3.887311187813103,10.516666666999999,6.903412110598142
72,72,9.6583333333,4.868399298712369,10.243333333,5.8832688066282035,10.9416666667,3.904739522699021,10.516666666999999,6.903412110598142
73,73,9.75,4.849271295975851,12.03,5.024789167249572,11.258333333,4.099166204801462,10.516666666999999,6.903412110598142
74,74,10.35,4.2562227505119266,12.03,5.024789167249572,11.258333333,4.099166204801462,10.441666667,6.853183679618285
75,75,10.583333333,4.237909454656175,12.03,5.024789167249572,11.258333333,4.099166204801462,10.441666667,6.853183679618285
76,76,12.276666666,2.6539651215371696,12.03,5.024789167249572,11.258333333,4.099166204801462,10.383333334,6.834033388110016
77,77,12.276666666,2.6539651215371696,12.03,5.024789167249572,11.258333333,4.099166204801462,10.766666666999999,7.069408971711047
78,78,12.293333333,2.64789923747529,12.03,5.024789167249572,11.233333333,4.079609034069833,10.986666667,7.007706516154418
79,79,12.368333333,2.7114691250910865,12.13,5.143243200525626,11.233333333,4.079609034069833,12.386666667,5.875985864072114
