,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,0.4,1.2649110640673518,0.0,0.0,0.0,0.0,0.0,0.0
26,26,1.6,2.6331223544175333,0.4,1.2649110640673518,0.0,0.0,0.0,0.0
27,27,2.3,2.5841396591085743,0.6,1.3498971154211057,0.0,0.0,0.0,0.0
28,28,3.0,2.160246899469287,2.1,2.4244128727957572,0.0,0.0,0.8,2.2010098692292237
29,29,3.6833333333,1.9058875641577366,2.6,2.4585451886114367,2.6,3.438345855527367,1.2,2.3944379994757297
30,30,4.825,1.2900677081187888,4.0,2.2973414586817036,3.7,3.3681514877517675,3.25,3.393212178583722
31,31,4.5766666665999995,1.1646066469987109,3.7083333333,2.1166776027604626,4.4,2.6331223544175333,3.45,3.235652089524528
32,32,4.7683333333,1.4162733659568132,5.0083333332999995,2.828549883685003,4.4,2.6331223544175333,3.3666666667,2.767536677147307
33,33,5.0926190475999995,1.629116082972245,5.175,2.2684259240416464,5.3,2.2135943621178655,4.0,2.7227890565818673
34,34,5.2338095237,1.7475209378432406,5.0083333332999995,1.6237293226885572,5.5666666667,1.4168300559660953,4.05,2.7476701690660232
35,35,5.4421428571,1.443369585184058,4.805,1.4581624238052258,5.5666666667,1.474474168697287,4.725,2.3517953478088414
36,36,5.545,1.462579532500332,4.8816666667,1.3733677180642885,5.5833333334,1.461966374108752,4.75,2.284421206096677
37,37,5.6152380952,1.5248075435261776,5.1433333334,1.1984867001959876,5.6166666667000005,1.5933891203866892,4.9233333333000004,2.4079113432613477
38,38,5.7422222222,1.6689554201623078,5.2783333334,1.062356922088752,5.8166666667,1.4025989985134255,5.3466666667,1.5984714921824539
39,39,5.6802380953,1.6337760095648368,5.4050000001,1.1438875701398197,6.4366666666,1.5030586100186216,5.5966666667,1.2643692616557873
40,40,5.932142857200001,1.6290158627854199,5.7497619048,1.1848045851520195,6.4845238095,1.5736437210008625,5.7066666667,1.292886520827632
41,41,5.9955952381,1.6471558332682767,5.9187698413,1.1454368734873825,6.5930952382,1.7393879551884244,5.9542857144,1.2076688688862804
42,42,5.9630402929,1.6216486219202002,6.0142460317,1.4186361656365216,6.7770238096,1.660349521897624,6.3190476191,1.1670823143765443
43,43,6.0630158729,1.5600270672325116,6.0416269841,1.4271386536240727,6.9058333333,1.5790685740331853,6.7672619048,1.129511927299516
44,44,6.1373049172,1.560057251147881,6.248015873,1.5014913315490381,7.088531746,1.5663785748244774,6.7327380953,1.0534142935053532
45,45,6.3260531135,1.7100134028436076,6.4106421357,1.5130106190849033,7.2151190475,1.656327957229654,6.6910714286,1.0268674725012432
46,46,6.4964590965,1.6275307276451567,6.4257431458,1.454817943931917,7.500616883,1.5679768899836288,6.6692857143,1.1177287060458316
47,47,6.5281257632,1.6001920832502712,6.5270057721,1.4464197256828466,7.6992027421,1.7166773755570033,6.6682539682,1.1710413158912907
48,48,6.557905983,1.5966119935084144,6.6090259741,1.4324983990157278,7.7992027421,1.7004713536593161,6.8131868131,1.1844298203577537
49,49,6.6221916973,1.3461073158302308,6.6778760129,1.557409253108975,7.8848659673,1.689151933218492,7.0113888889,1.1506983183553066
50,50,6.6901098901,1.2188126905268568,6.8198806749,1.5424535107021118,8.0460997338,1.665625280420571,7.2315079365,1.1143976369857818
51,51,6.7855969031,1.3027843192337014,7.0293523144,1.5088961536735754,8.324630647100001,1.8001277550846735,7.4622655122,1.227709866512382
52,52,6.8194047619,1.342491465861905,7.3051154402,1.2685275000691203,8.393527305700001,1.7856204600792291,7.664011544,1.1784609834168749
53,53,6.9480794206,1.2874498996220778,7.3659740261,1.2262272460233,8.4436951934,1.8208109251972409,7.6825014855,1.278478967891594
54,54,7.0519576258,1.433457433092238,7.5252872129,1.0440104532614127,8.4790523364,1.805765806846965,7.724713024,1.272698316212716
55,55,7.1641163005,1.3981015307579148,7.5100869965,0.9703897010592346,8.5422269396,1.818882088776704,7.8257237892,1.3174312469153566
56,56,7.2565068356,1.4711499442616893,7.5938526181,0.9370103979003156,8.669889277100001,1.7284641309119038,7.9708358012,1.2378633347419403
57,57,7.3052756892,1.4775970353359082,7.646232649,1.0048748487188297,8.672325517200001,1.7609977377898471,8.0796646335,1.2376473321346824
58,58,7.3972903411,1.556372549253134,7.6743278871,1.013101802863183,8.6833145281,1.763848359302989,8.0852923393,1.2172440075912627
59,59,7.3872242673,1.6100477158184368,7.732533979199999,0.9669783617092436,8.6818859567,1.7633762559362158,8.1769855146,1.2653197280640383
60,60,7.4113670378,1.545270096484534,7.8295394737,1.0316457186852428,8.6946785413,1.7347800724366724,8.331099456,1.399867840382783
61,61,7.5198951426,1.5628970564075577,7.8541228069999995,1.040812404984927,8.6963868002,1.7205637788644046,8.3976745476,1.461325596977281
62,62,7.6216307315,1.6259958967019896,7.8819117647,1.040562894534646,8.80763439,1.6196330808789268,8.5577078477,1.4121335046628356
63,63,7.6948582616,1.6018542199322714,7.8829563492,0.9770843778545636,8.8810902724,1.7249442268516717,8.5397929847,1.451281913214975
64,64,7.8279474052,1.4843016582777657,8.0337130817,1.0005711029081856,8.9865297435,1.7930014980022289,8.5155429847,1.3989856621933767
65,65,7.8279474052,1.4843016582777657,8.1362985118,1.1401654248862667,9.0720070117,1.8417903959693867,8.5535588577,1.4925314670582177
66,66,7.839035726300001,1.4906751888163645,8.249883677,1.1852057853499,9.1915749262,1.9041712780363473,8.5737694804,1.4827817386873468
67,67,7.8946676759,1.536923313742325,8.253408521699999,1.185277538642873,9.2540721508,1.9166555162241254,8.6670805324,1.5459354059658563
68,68,7.9156367659,1.5725542484448318,8.2290947962,1.192008461411269,9.2416889867,1.9019706482525385,8.7760507553,1.5501171526487798
69,69,7.9623583864,1.503488756338587,8.308856701,1.219921803384232,9.3061245944,1.7574023973680457,8.7675560761,1.522995118138184
70,70,7.9627362921,1.4972677619390677,8.4058520425,1.3005324316693354,9.487194241300001,1.666062216281093,8.843400232,1.4517019423334994
71,71,7.9687376443,1.4424947264352819,8.5285969607,1.4595817945332878,9.7198852541,1.6774298445048106,8.9499933693,1.3905274336426134
72,72,8.0191343459,1.3882276618234788,8.6626073597,1.436488580358983,9.9047747177,1.64691709453469,9.042540323899999,1.3963225439189544
