,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,0.0258838485,0.08185191587073282,0.0,0.0,0.0,0.0,-0.0004659039,0.0014733174947553227
26,26,0.2437658947,0.4555530542215368,0.0712531038,0.22532209836439862,0.0,0.0,-0.0004659039,0.0014733174947553227
27,27,0.4706034346,0.5717404582702953,0.1254886517,0.2675767654461961,0.0,0.0,-0.0004659039,0.0014733174947553227
28,28,0.5759897384,0.47659800285295795,0.5819368446,0.8359673470423695,0.0,0.0,0.2101453519,0.5243489060648101
29,29,0.6756015887,0.4443710128852115,0.6954270182,0.8251526547568129,0.9395052312,1.2816413375540399,0.27457547229999996,0.5266213674622776
30,30,1.1014710053,0.6321014610151563,0.9221939524,0.7727446129291942,1.4286349514999999,1.195708629927416,1.2039215564,1.4389345117278363
31,31,1.0508060007,0.516507784831011,0.7533168283999999,0.6357120740583069,1.6960388041999999,1.021184553547131,1.2036151718,1.4392196369444912
32,32,1.0594038364,0.5026257121921728,1.0431568748,0.8723246743735635,1.7620445652,1.0970933335718214,1.0945682586,1.1157242957980689
33,33,1.1600323083,0.5001838289607687,1.3008265711,0.9830650337811079,1.8632526451,0.9323277188329292,1.2726541589,1.0197525641325438
34,34,1.1868468642,0.4557450808363588,1.4206946691,0.9984627073796244,1.9748499675,0.7884407280135087,1.4098377613,0.9944440783141272
35,35,1.1942613146,0.42259335315418195,1.327758816,0.8094056305369972,2.1485304723,1.01585767782155,1.5411820598,0.9454080180421635
36,36,1.1511278318,0.37286702180331244,1.4665733957,0.7875798009551994,2.1272207756,0.9893203099532317,1.5155801264,0.949665407677835
37,37,1.1926161481,0.39237982796050686,1.710797932,0.7594246506927909,2.0900828419,0.8757866752735458,1.543433946,1.0453286098332446
38,38,1.2273341668,0.3941555903882599,1.7857660931,0.7220224199231203,2.1656741283,0.806993980096415,1.7473410401,0.8219310768458014
39,39,1.2871400397,0.30433211583999836,1.8439201484999999,0.7345197775592383,2.3521910805,0.7645824331784142,1.7668569527,0.8002079842463785
40,40,1.3594863844,0.41749261835007356,2.0440058171,0.8491229196437201,2.4470464109,0.7075877273975018,1.718103019,0.8235582750367875
41,41,1.381418662,0.44102915789853286,2.05196772,0.8488969652036064,2.5636622849,0.9480664700479411,1.9338545118000001,0.7976577187581003
42,42,1.3679216348,0.4395561154629019,2.0053555535,0.8151336517110507,2.6870884192,0.8788386278795275,1.9879594023,0.7362550739178666
43,43,1.3971103311,0.3986218257982331,2.026287861,0.8313639271261825,2.7082763884,0.8347868434912106,1.9643615971,0.5206656715794573
44,44,1.4049428361,0.3947030963294146,2.0711548318,0.8584849413982705,2.6457599517,0.8478138869121067,1.9825683703,0.5222400067661548
45,45,1.4872872937000001,0.3876481821871412,2.0459539485,0.860303072195317,2.5905513013,0.8347610800244375,2.0176323849,0.6766093147305026
46,46,1.4981849847,0.3826067904325193,2.0087003929,0.8031531830145919,2.7305745655,0.7819489170477041,1.9936808798,0.6630960722631063
47,47,1.5140111214,0.35668826329076475,1.9830420731,0.8022125480212299,2.7856062148,0.864440616451862,1.9744830339,0.6920260019605083
48,48,1.5086786657,0.35967534009727997,2.086185563,0.7010072247659622,2.7857519089,0.8643297424521988,2.0000522238,0.6858136160007905
49,49,1.5814252578,0.36775728590162826,2.0912959484,0.7081327125740853,2.8601853188999997,0.8929240193522939,2.1113246782,0.7270868419001338
50,50,1.5654794875,0.35057423666631793,2.1523800628000003,0.6235790506452814,2.9325499596999998,0.9593927274981378,2.1483444884000003,0.8373010974470924
51,51,1.5794396688,0.34461476965484755,2.1899048795000002,0.6179177389316972,3.0841648573000002,1.0540581240261395,2.3069700965,0.8760515515020715
52,52,1.5715028537,0.34844915956752365,2.2924894823,0.5738174378149222,3.1090033007,1.1114697673333809,2.3254770689,0.8551564712264337
53,53,1.6555402744,0.49636001990420525,2.3865332826000003,0.6127582433471994,3.0676674457,1.0913406146287894,2.3853604074,0.8868183991116273
54,54,1.7087248362,0.5047631198069653,2.3992787971,0.5574309636025866,3.0762066907,1.1019250766350441,2.4686967235,0.8609178123436908
55,55,1.7532398672,0.5453120640918289,2.3775036537,0.5474215946187247,3.0715194753,1.0959126313374703,2.4958916051,0.8765776680390339
56,56,1.740822884,0.5238344012089071,2.4286226265,0.47007562665301866,3.0987281393,1.1342447787206498,2.5489155375,0.8007538952159555
57,57,1.753233555,0.5638324173265125,2.4546207773,0.42915101016099994,3.0687105011,1.0752280686841604,2.5739134347,0.8047394344065931
58,58,1.7469997703,0.5573717662207799,2.4437882825,0.43752108802777234,3.1093647266,1.0902507174286724,2.5870410388,0.7919826310064372
59,59,1.7431346216,0.53832338486084,2.4305957289999998,0.43523607047258084,3.0991092083,1.083399450156849,2.6662515709,0.8667460134629675
60,60,1.7790111935000001,0.5466569228543511,2.4098100244,0.425373629499271,3.1578017577,1.1021706569114664,2.6492659759,0.8554646554598847
61,61,1.8747854227,0.6771684365204219,2.4191969395,0.41860452292042233,3.180810247,1.0895642136522925,2.7048325422,0.8452863720747519
62,62,1.8763216381,0.6830503814147039,2.545381096,0.564016002555763,3.2184885835,1.0185478038518276,2.7001889821,0.9118347994372217
63,63,1.895886914,0.677913553679537,2.5302367073,0.5746187254167164,3.2927291701000003,1.0940234067752885,2.7112895278,0.9340378803344855
64,64,1.9035523111000001,0.6514266389120082,2.5321261911,0.5801079540761207,3.3248374542,1.1063526837310191,2.7037963632,0.961038533680863
65,65,1.8959764987,0.6446507445482679,2.5945148478,0.71985221250189,3.4363414643,1.18843786544875,2.6990414485,0.9796436516340172
66,66,1.898348797,0.6465373921124081,2.6162565939,0.7059972968975097,3.4150268163,1.1293859518729565,2.6929553633,0.9987001649151693
67,67,1.9178269984,0.6335543814425851,2.611998946,0.7121088872722762,3.4678139401,1.1365667529779733,2.7339311844,1.0086647481603486
68,68,1.9833138173,0.6962735944857406,2.6032049596,0.7199401982374379,3.4805858546,1.143448441102397,2.722329535,0.9590561883002572
69,69,2.0290824779,0.7188301324982879,2.6269597393,0.7124897296822799,3.5542473519,1.050733326871746,2.6970357131,0.9518110569033641
70,70,2.0609921378,0.6896324860280232,2.7050521738,0.7374156624448519,3.6723830967,1.059160107543543,2.7278174270999997,0.9158146022895037
